Snake,Genus,Species,Family,Country,Reference,SVMPi,DC-fragment,CRISP,PLB,Crotoxin,SP,KuTi,KLK,LAAO,VEGF,CVF,Cytotoxin,Myotoxin,Ohanin,Crotamine,Vespryn,HYA,NGF,PDE,ACHE,NT5,EN,QC,ECTONT,SVMP,Disintegrin,Lectins,3FTx,PLA2,VAP,Unknown
Bothrops alternatus,Bothrops,alternatus,Viperidae,Brazil,https://www.ncbi.nlm.nih.gov/pubmed/24069493,0,0,2.5,2.4,0,5.79,0,0,14.89,0,0,0,0,0,0,0,0.3,0.4,1.5,0,0,0,0.9,2.4,52.15,0,14.79,0,2,0,-0.01999999999998181
Bothrops asper,Bothrops,asper,Viperidae,Costa Rica,https://www.ncbi.nlm.nih.gov/pubmed/18557640,0,0,2.48,0,0,6.63,0,0,2.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.269999999999996,1.58,0.1,0,23.47,0,-0.009999999999990905
Bothrops asper,Bothrops,asper,Viperidae,Costa Rica,https://www.ncbi.nlm.nih.gov/pubmed/18557640,0,0.1,0.1,0,0,18.2,0,0,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,2.1,0.5,0,28.8,0,1.4210854715202004e-14
Bothrops asper,Bothrops,asper,Viperidae,Costa Rica,https://www.ncbi.nlm.nih.gov/pubmed/18557640,0,0.1,0.1,0,0,4.4,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.8,1.4,0.5,0,45.1,0,0
Bothrops asper,Bothrops,asper,Viperidae,Costa Rica,https://www.ncbi.nlm.nih.gov/pubmed/18557640,0,0,0.1,0,0,2.6,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.3,0.6,0.2,0,27.7,0,0.10000000000000853
Bothrops asper,Bothrops,asper,Viperidae,Costa Rica,https://www.ncbi.nlm.nih.gov/pubmed/19539636,0,0.1,0.1,0,0,4.39,0,0,4.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.910000000000004,1.4,0.5,0,45.01,0,0
Bothrops asper,Bothrops,asper,Viperidae,Costa Rica,https://www.ncbi.nlm.nih.gov/pubmed/19539636,0,0.1,0.1,0,0,18.2,0,0,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,2.1,0.5,0,28.8,0,1.4210854715202004e-14
Bothrops atrox,Bothrops,atrox,Viperidae,Colombia,https://www.ncbi.nlm.nih.gov/pubmed/19665598,0,0.1,2.6,0,0,10.89,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.45,4.9,7.09,0,20.98,0.3,-0.010000000000019327
Bothrops atrox,Bothrops,atrox,Viperidae,Brazil,https://www.ncbi.nlm.nih.gov/pubmed/19665598,0,0.9,1.8,0,0,4.6,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,72.1,0.1,0.7,0,17.4,0.1,2.842170943040401e-14
Bothrops atrox,Bothrops,atrox,Viperidae,Brazil,https://www.ncbi.nlm.nih.gov/pubmed/22300577,0,0,2.4,0,0,11.1,0,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.2,3.2,3.6,0,11,0,0
Bothrops atrox,Bothrops,atrox,Viperidae,Brazil,https://www.ncbi.nlm.nih.gov/pubmed/21278006,0,0,3.2,0,0,5.5,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.2,0,0,0,17,0,0
Bothrops atrox,Bothrops,atrox,Viperidae,Brazil,https://www.ncbi.nlm.nih.gov/pubmed/21278006,0,0,1.2,0,0,4.5,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0.5,0,10,0,0.09999999999999432
Bothrops atrox,Bothrops,atrox,Viperidae,Brazil,https://www.ncbi.nlm.nih.gov/pubmed/21278006,0,0,1.2,0,0,3,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.3,0,0.4,0,12,0,0
Bothrops atrox,Bothrops,atrox,Viperidae,Brazil,https://www.ncbi.nlm.nih.gov/pubmed/21278006,0,0,1.6,0,0,6.9,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,16,0,0
Bothrops atrox,Bothrops,atrox,Viperidae,Brazil,https://www.ncbi.nlm.nih.gov/pubmed/21278006,0,0,2.8,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,15,0,0.20000000000000284
Bothrops atrox,Bothrops,atrox,Viperidae,Brazil,https://www.ncbi.nlm.nih.gov/pubmed/21278006,0,0,1.6,0,0,2.1,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,18,0,0
Bothrops atrox,Bothrops,atrox,Viperidae,Brazil,https://www.ncbi.nlm.nih.gov/pubmed/21278006,0,0,2.2,0,0,3.49,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.83000000000001,0,0,0,8.08,0,-1.4210854715202004e-14
Bothrops atrox,Bothrops,atrox,Viperidae,Brazil,https://www.ncbi.nlm.nih.gov/pubmed/21278006,0,0,3.6,0,0,2.6,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.5,0,0,0,12.8,0,0
Bothrops atrox,Bothrops,atrox,Viperidae,Brazil,https://www.ncbi.nlm.nih.gov/pubmed/21278006,0,0,2.2,0,0,4.3,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,8,0,0
Bothrops atrox,Bothrops,atrox,Viperidae,Venezuela,https://www.ncbi.nlm.nih.gov/pubmed/28274896,0,0,2.7,0,0,2.5,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0.9,0,8.5,0,0
Bothrops atrox,Bothrops,atrox,Viperidae,Venezuela,https://www.ncbi.nlm.nih.gov/pubmed/28274896,0,0,3.8,0,0,2.3,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,7.7,0,0
Bothrops atrox,Bothrops,atrox,Viperidae,Venezuela,https://www.ncbi.nlm.nih.gov/pubmed/28274896,0,0,2.2,0,0,9.5,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,5.5,0,0
Bothrops atrox,Bothrops,atrox,Viperidae,Venezuela,https://www.ncbi.nlm.nih.gov/pubmed/28274896,0,0,2.8,0,0,2.2,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,8.5,0,0
Bothrops atrox,Bothrops,atrox,Viperidae,Colombia,https://www.ncbi.nlm.nih.gov/pubmed/21278006,0,0,2.1,0,0,19,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.8,3.1,0,0,48,0,0
Bothrops atrox,Bothrops,atrox,Viperidae,Brazil,https://www.ncbi.nlm.nih.gov/pubmed/21278006,0,0,3.7,0,0,11.5,0,0,9.1,0.7,0,0,0,0,0,0,0.2,0.5,2.4,0,1.7,0,0,0,50.900000000000006,0,13.1,0,6.2,0,0
Bothrops atrox,Bothrops,atrox,Viperidae,Brazil,https://www.ncbi.nlm.nih.gov/pubmed/21278006,0,0,4.3,0,0,14.1,0,0,9.4,1.4,0,0,0,0,0,0,0.2,1,2.6,0,2.6,0,0,0,46.5,0,10.2,0,7.5,0,0.20000000000000284
Bothrops atrox,Bothrops,atrox,Viperidae,Brazil,https://www.ncbi.nlm.nih.gov/pubmed/21278006,0,0,4.3,0,0,10.3,0,0,8.7,0.7,0,0,0,0,0,0,0.2,0.8,2.7,0,2.1,0,0,0,51.4,0,13.1,0,5.7,0,0
Bothrops atrox,Bothrops,atrox,Viperidae,Brazil,https://www.ncbi.nlm.nih.gov/pubmed/21278006,0,0,3.79,0,0,9.68,0,0,8.68,0.9,0,0,0,0,0,0,0.2,0.8,2.2,0,1.7,0,0,0,53.89,0,11.78,0,6.39,0,-0.010000000000005116
