Snake,Genus,Species,Family,Country,Reference,SVMPi,DC-fragment,CRISP,PLB,Crotoxin,SP,KuTi,KLK,LAAO,VEGF,CVF,Cytotoxin,Myotoxin,Ohanin,Crotamine,Vespryn,HYA,NGF,PDE,ACHE,NT5,EN,QC,ECTONT,SVMP,Disintegrin,Lectins,3FTx,PLA2,VAP,Unknown
Macrovipera lebetina transmediterranea,Macrovipera,lebetina,Viperidae,Armenia,https://www.ncbi.nlm.nih.gov/pubmed/18590992,0,0.99,0,0,0,8.91,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.34,6.930000000000001,9.9,0,3.96,1,-0.010000000000005116
Macrovipera mauritanica,Macrovipera,mauritanica,Viperidae,Morocco,https://www.ncbi.nlm.nih.gov/pubmed/22387317,0,1.1,0,0,0,8.3,2.5,0,0,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.4,13.8,8.1,0,5.5,4.5,1.4210854715202004e-14
Micropechis ikaheka,Micropechis,ikaheka,Elapidae,Papua New Guinea,https://www.ncbi.nlm.nih.gov/pubmed/25109465,0,0.3,1.8,0,0,0.1,0.7,0,0.4,0,0,0,0,0,0,0.3,0,0,0,0,0.1,0,0,0,7.29,0,0,9.18,79.84,0,-0.010000000000005116
Micrurus alleni,Micrurus,alleni,Elapidae,Costa Rica,https://www.ncbi.nlm.nih.gov/pubmed/26325292,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.2,0.8,0.1,0,0,0,0,0,0,1.2,0,1.8,77.3,10.9,0,4.700000000000003
Micrurus altirostris,Micrurus,altirostris,Elapidae,Brazil,https://www.ncbi.nlm.nih.gov/pubmed/21515432,0,0,0.1,0,0,0,2.1,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0.1,79.5,13.7,0,2.3999999999999915
Micrurus clarki,Micrurus,clarki,Elapidae,Costa Rica,https://www.ncbi.nlm.nih.gov/pubmed/27164141,0,0,0,0.2,0,1,0.9,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,1.1,48.2,36.5,0,6.699999999999989
Micrurus corallinus,Micrurus,corallinus,Elapidae,Brazil,https://www.ncbi.nlm.nih.gov/pubmed/21515432,0,0,0,0,0,0.8,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0.9,81.7,11.9,0,-1.4210854715202004e-14
Micrurus dumerilii,Micrurus,dumerilii,Elapidae,Colombia,https://www.ncbi.nlm.nih.gov/pubmed/26883873,0,0,0,0.1,0,1.9,9,0,3.1,0,0,0,0,0,0,0,0.1,0,0.1,0,0.1,0,0,0,1.8,0,1.1,28.1,52,2.4,0.19999999999998863
Micrurus mipartitus,Micrurus,mipartitus,Elapidae,Costa Rica,https://www.ncbi.nlm.nih.gov/pubmed/21963438,0,0,0,0,0,0,1.9,0,3.19,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,3.59,0,0,82.83,8.18,0,0.009999999999990905
Micrurus mipartitus,Micrurus,mipartitus,Elapidae,Colombia,https://www.ncbi.nlm.nih.gov/pubmed/21963438,0,0,0,0,0,1.3,1.9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,1.1,61.1,29,0,0
Micrurus mosquitensis,Micrurus,mosquitensis,Elapidae,Costa Rica,https://www.ncbi.nlm.nih.gov/pubmed/26325292,0,0,0,0,0,0.5,9.8,0,2.8,0,0,0,0,0,0,0,0,0.6,0.2,0,0.2,0,0,0,2.6,0,1.3,22.5,55.6,0,3.9000000000000057
Micrurus nigrocinctus,Micrurus,nigrocinctus,Elapidae,Costa Rica,https://www.ncbi.nlm.nih.gov/pubmed/21280576,0,0,0,0,0,0.7,0,0,2.3,0,0,0,0,3.8,0,0,0,0,0,0,0.5,0,0,0,4.3,0,2.2,38,48,0,0.20000000000000284
Micrurus tschudii,Micrurus,tschudii,Elapidae,Peru,https://www.ncbi.nlm.nih.gov/pubmed/27338473,0,0,0,0,0,0,1.57,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.7,4.04,0,-1.4210854715202004e-14
Naja atra,Naja,atra,Elapidae,China,https://www.ncbi.nlm.nih.gov/pubmed/26924299,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,1.6,0,0,84.3,12.2,0,0
Naja atra,Naja,atra,Elapidae,Taiwan,https://www.ncbi.nlm.nih.gov/pubmed/26196238,0,0,2.16,0,0,0,0,0,0.19,0,0.25,59.4,0,0,0,0,0,1.08,0,0,0.38,0,0,0,0.72,0,0,20.54,13.95,0,1.3299999999999983
Naja haje legionis,Naja,haje,Elapidae,Morocco,https://www.ncbi.nlm.nih.gov/pubmed/24269350,0,0,10,0,0,0,1.9,0,1,0,0.1,0,0,0,0,0,0,5,0,1,0,0,0,0,9,0,0,60,4,0,8
Naja kaouthia,Naja,kaouthia,Elapidae,Thailand,https://www.ncbi.nlm.nih.gov/pubmed/25748141,0,0,0.8,0,0,0,0.1,0,0.5,0,0.7,44.72,0,0,0,0.2,0,1.29,0.4,0,0.2,0,0,0,1.59,0,0,31.369999999999997,17.33,0,0.7999999999999972
Naja kaouthia,Naja,kaouthia,Elapidae,Vietnam,https://www.ncbi.nlm.nih.gov/pubmed/25748141,0,0,2.3,0,0,0,0,0,1,0,1.1,27.57,0,0,0,0.7,0,0.5,0.3,0,0.2,0,0,0,2.6,0,0.4,50.650000000000006,12.19,0.2,0.28999999999999204
Naja kaouthia,Naja,kaouthia,Elapidae,Thailand,https://www.ncbi.nlm.nih.gov/pubmed/25748141,0,0,4.3,0,0,0,0.5,0,1.1,0,0.8,45.7,0,0,0,0.3,0,0.2,0.4,0,0.3,0,0,0,3.3,0,0.2,18,23.5,0,1.4000000000000057
Naja kaouthia,Naja,kaouthia,Elapidae,Malaysia,https://www.ncbi.nlm.nih.gov/pubmed/25771242,0,0,1.7,0,0,0,0,0,0.4,0,0.1,24.3,0,0.6,0,0,0,0.3,0.4,0,0,0.4,0,0,2.4,0,0.5,53.2,13.5,1.1,1.1000000000000085
Naja kaouthia,Naja,kaouthia,Elapidae,China,https://www.ncbi.nlm.nih.gov/pubmed/28263888,0,0,5.39,0,0,0,0,0,0,0,0,27.87,0,9.19,0,0,0,1,0,0,0,0,0,0,1.1,0,0,28.58,26.87,0,0
Naja katiensis,Naja,katiensis,Elapidae,Burkina Faso,https://www.ncbi.nlm.nih.gov/pubmed/21171584,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,3.3,0,0,67.03,28.97,0,0.29999999999999716
Naja melanoleuca,Naja,melanoleuca,Elapidae,Uganda,https://www.ncbi.nlm.nih.gov/pubmed/27593527,0,0,7.6,0,0,0,3.8,0,0,0,0,0,0,0.5,0,0,0,0.4,1.1,0,0,0,0,0,9.7,0,0.8999999999999999,57.1,12.9,0,6
Naja mossambica,Naja,mossambica,Elapidae,Tanzania,https://www.ncbi.nlm.nih.gov/pubmed/21171584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,2.6,0,0,69.3,27.1,0,0.4000000000000057
Naja naja,Naja,naja,Elapidae,Sri Lanka,https://www.ncbi.nlm.nih.gov/pubmed/28062377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0.85,0,0,80.47,13.95,0,4.109999999999999
Naja naja,Naja,naja,Elapidae,India,https://www.ncbi.nlm.nih.gov/pubmed/26506536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0,0,0.86,0,0,74.18,21.43,0,2.799999999999983
Naja naja,Naja,naja,Elapidae,India,https://www.ncbi.nlm.nih.gov/pubmed/26506536,0,0,2.1,0,0,0.3,0.4,0,0.8,0,1.1,0,0,0,0,0,0,0.9,2.1,6.3,0.4,0,0,0,1,0,0,63.8,11.4,2,7.3999999999999915
Naja nigricollis,Naja,nigricollis,Elapidae,Nigeria,https://www.ncbi.nlm.nih.gov/pubmed/21171584,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,2.4,0,0,73.3,21.9,0,1.9000000000000057
Naja nubiae,Naja,nubiae,Elapidae,Egypt,https://www.ncbi.nlm.nih.gov/pubmed/21171584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,70.9,26.4,0,0.09999999999999432
Naja pallida,Naja,pallida,Elapidae,Kenya,https://www.ncbi.nlm.nih.gov/pubmed/21171584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,1.6,0,0,67.63,30.07,0,0.5999999999999943
Naja sputatrix,Naja,sputatrix,Elapidae,Indonesia,https://www.ncbi.nlm.nih.gov/pubmed/28159706,0,0,0,0.02,0,0.42,0.24,0,0.08,0,0.29,48.08,0,0,0,0.12,0,1.82,0.08,0.04,0.1,0,0,0,1.33,0,0,16.14,31.24,0,1.4210854715202004e-14
Notechis scutatus,Notechis,scutatus,Elapidae,Australia,https://www.ncbi.nlm.nih.gov/pubmed/27282922,0,0,0.4,0,0,6.9,4.8,0,2,0,0,0,0,0,0,0.3,0,1.4,0,1.4,1.4,0,0,0,0,0,0,0,69.69999999999999,5.9,5.800000000000011
Ophiophagus hannah,Ophiophagus,hannah,Elapidae,Indonesia,https://www.ncbi.nlm.nih.gov/pubmed/25896403,0,0,6.48,0,0,0,3.29,0,0.5,0,0,17.65,0,1.1,0,0,0,0,0,0,0,0,0,0,11.86,0,0,55.34,2.79,0.2,0.789999999999992
Oxyuranus scutellatus canni,Oxyuranus,scutellatus,Elapidae,Papua New Guinea,https://www.ncbi.nlm.nih.gov/pubmed/22266484,0,0,0.8,0,0,0,12.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.88,0,0.6,4.19,68.16,1.9,2.5
Oxyuranus scutellatus scutellatus,Oxyuranus,scutellatus,Elapidae,Australia,https://www.ncbi.nlm.nih.gov/pubmed/22266484,0,0,0.6,0,0,0.6,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,0,0,1.5,79.4,0,4.8999999999999915
Pelamis platura,Pelamis,platura,Elapidae,Costa Rica,https://www.ncbi.nlm.nih.gov/pubmed/24704853,0,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.9,0,0,49.9,32.9,0,6.400000000000006
Porthidium lansbergii lansbergii,Porthidium,lansbergii,Viperidae,Colombia,https://www.ncbi.nlm.nih.gov/pubmed/25496801,0,0,1.4,0.7,0,4.5,0,0,3.6,2.2,0,0,0,0,0,0,0,0,0.3,0,0.4,0,0,0,35.5,12.9,6.7,0,16.2,0,15.599999999999994
Porthidium nasutum,Porthidium,nasutum,Viperidae,Costa Rica,https://www.ncbi.nlm.nih.gov/pubmed/22212456,0,0,1.3,0,0,9.6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,52.1,9.9,10.4,0,11.6,1.9,-1.4210854715202004e-14
Porthidium ophryomegas,Porthidium,ophryomegas,Viperidae,Costa Rica,https://www.ncbi.nlm.nih.gov/pubmed/22212456,0,0,0.6,0,0,7.3,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,16.7,8,0,13.5,4.2,1.3999999999999915
Protobothrops mucrosquamatus,Protobothrops,mucrosquamatus,Viperidae,Taiwan,https://www.ncbi.nlm.nih.gov/pubmed/22906718,3.3,0,0.8,0,0,10.4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.400000000000006,0.8,3.9,0,23.5,3.6,8.299999999999997
Pseudechis papuanus,Pseudechis,papuanus,Elapidae,Australia,https://www.ncbi.nlm.nih.gov/pubmed/27650695,0,0,2.3,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,3.1,90.2,0,0
Sistrurus catenatus catenatus,Sistrurus,catenatus,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/16944921,0,0.1,0.8,0,0,18.18,0,0,4.2,0,0,0,0.4,0,0,0,0,0.1,0,0,0,0,0,0,43.76,2.5,0.1,0,29.87,0,-0.009999999999990905
Sistrurus catenatus edwardsii,Sistrurus,catenatus,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/16944921,0,0.1,10.56,0,0,24.09,0.1,0,2.47,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,47.98,0.89,0.1,0,13.52,0.1,-0.009999999999990905
Sistrurus catenatus tergeminus,Sistrurus,catenatus,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/16944921,0,0.1,1.3,0,0,20.38,0,0,1.6,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,40.56,4.2,0.1,0,31.57,0,-0.009999999999990905
Sistrurus miliarius barbouri,Sistrurus,miliarius,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/16944921,0,1.3,2.9,0,0,17.08,0.1,0,2.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,36.06,7.69,0.1,0,32.47,0.1,1.4210854715202004e-14
Toxicocalamus longissimus,Toxicocalamus,longissimus,Elapidae,Papua New Guinea,https://www.ncbi.nlm.nih.gov/pubmed/22643073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,92.1,6.5,0,0
Trimeresurus stejnegeri,Trimeresurus,stejnegeri,Viperidae,Taiwan,https://www.ncbi.nlm.nih.gov/pubmed/22906718,2.85,0,5.51,0,0,10.11,0,0,3.03,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.61,2.02,1.38,0,22.52,5.24,6.900000000000006
Vipera berus berus,Vipera,berus,Viperidae,Croatia,https://www.ncbi.nlm.nih.gov/pubmed/27327134,4,0,8,0,0,31,0.07,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,2,0,10,11,11.930000000000007
Vipera kaznakovi,Vipera,kaznakovi,Viperidae,Russia,https://www.ncbi.nlm.nih.gov/pubmed/27077884,0,0,10,0.32,0,11,0,0,4,4,0,0,0,0,0,0,0.01,0.14,0,0,0.21,0,0,0,16,0.53,12,0,41,0,0.789999999999992
Vipera nikolskii,Vipera,nikolskii,Viperidae,Russia,https://www.ncbi.nlm.nih.gov/pubmed/27077884,0,0,0.66,0.12,0,18.92,0.66,0,0.08,7.97,0,0,0,0,0,0,0,0.33,0,0,0.88,0,0,0,0.66,0,3.98,0,64.74,0.01,0.9899999999999949
Vipera orlovi,Vipera,orlovi,Viperidae,Russia,https://www.ncbi.nlm.nih.gov/pubmed/27077884,0,0,12,0.52,0,24,0.15,0,5,4,0,0,0,0,0,0,0,0.25,0,0,2,0,0,0,15,0.56,11,0,24,0,1.5200000000000102
Vipera raddei,Vipera,raddei,Viperidae,Armenia,https://www.ncbi.nlm.nih.gov/pubmed/18590992,0,0.1,7.39,0,0,8.39,0.9,0,0.2,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.560000000000002,9.69,9.59,0,23.78,6,0
Vipera renardii,Vipera,renardii,Viperidae,Russia,https://www.ncbi.nlm.nih.gov/pubmed/27077884,0,0,8,0.54,0,8,0.79,0,4,3,0,0,0,0,0,0,0,0.12,0,0,0.47,0,0,0,12,13,3,0,44,0,3.0799999999999983
Vipera aspis aspis,Vipera,aspis,Viperidae,France,https://www.ncbi.nlm.nih.gov/pubmed/32087377,0,0,1.1,0.15000000000000002,0,12.04,1.22,0,1.1700000000000002,2.51,0,0,0,0,0,0,0.04,0.46,0.15000000000000002,0,0.29000000000000004,0,0.25,0,13.38,6.159999999999999,11.719999999999999,0,30.86,0,18.5
Vipera berus berus,Vipera,berus,Viperidae,Russia,https://www.ncbi.nlm.nih.gov/pubmed/30717298,0,0,3.5,0,0,16.2,2.6,0,7.3,4.3,0,0,0,0,0,0,0.1,0.2,0.3,0,0.3,0,0.07,0,17.2,1.6,3.5,0,25.3,17.3,0.23000000000000398
Vipera anatolica senliki,Vipera,anatolica,Viperidae,Turkey,https://www.ncbi.nlm.nih.gov/pubmed/32073270,0,0,9.9,0,0,7.2,1.2,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.9,1.9,4.6,0,8.2,0,24
