Snake,genus,species,Reference,Note,SVMPi (Snake Venom Metalloproteinase inhibitor),DC-fragment (disintegrin-like/cysteine-ichdomains of PIII-SVMP),CRISP (cysteine-rich secretory protein),3Ftx (three-finger toxin),PLB (Phospholipase B),Cro-toxin,SP (Serine roteinase),KuTi (Kunitz-type nhibitor),KaTi (Kazal-type inhibitor),KLK (Kallikrein),LAAO (L-Amino Acid oxidase),VAP (VasoActive Peptides),BPP (Bradykinin-Potentiating Peptides),BIP (Bradykinin-Inhibitory Peptide),VEGF (Vascular Endothelial Growth Factor),NP (Natriuretic Peptide),Muscarinic-toxin,Cyto-toxin,Myo-toxin,Mojave-toxin,Ohanin,Cystatin,Crotamine,NGF (Nerve Growth Factor),PDE (PhosphoDiEsterases),ACHE (AcetylCHolineEsterase),NT5 (5NucleoTidase),QC (Glutaminyl Cyclase),beta-BTx (beta-bungarotoxin),ECTONT (ecto-59-nucleotidase),Unknown peptides,Unknown/Undetermined,SVMP,disintegrin,lectins,neurotoxins,PLA2
Crotalus durissus durissus,Crotalus,durissus,https://www.ncbi.nlm.nih.gov/pubmed/19863078,Guyana,0,0,0,0,0,67.86,5.09,0,0,0,3.59,0,0,0.9,0,0,0,0,0,0,0,0,17.96,0,0,0,0,0,0,0,0,0,2.4,0,0.2,0,2
Crotalus durissus ruruima,Crotalus,durissus,https://www.ncbi.nlm.nih.gov/pubmed/19863078,Brazil,0,0,0,0,0,82.62,8.09,0,0,0,0.5,0,0,0.1,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,2.9,0,4.3,0,0
Crotalus durissus terrificus,Crotalus,durissus,https://www.ncbi.nlm.nih.gov/pubmed/19863078,Brazil,0,0,0,0,0,59.5,8.2,0,0,0,4.5,0,0.5,1.8,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,4.8,0,1.7,0,0
Crotalus durissus terrificus,Crotalus,durissus,https://www.ncbi.nlm.nih.gov/pubmed/20205475,Origin unknown,0,0,0,0,0,0,25.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,1.9,0,7.8,1,0,0,9.7,0,3.9,0,0,0,48.5
Crotalus horridus*,Crotalus,horridus*,https://www.ncbi.nlm.nih.gov/pubmed/23758969,Florida,0,0,0.8,0,0,0,58.2,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,16.58,0.1,0,0.22,0,22.8
Crotalus oreganus helleri,Crotalus,oreganus,https://www.ncbi.nlm.nih.gov/pubmed/24463169,Catalina Island 1,23.67,0,15.39,0,0,0,0,0,0,10.05,4.15,0,7.69,0,0,0,0,0,0,0,0,0,25.3,0.73,0,0,0,0,0,0,0,0,0,0,9.17,0,3.86
Crotalus oreganus helleri,Crotalus,oreganus,https://www.ncbi.nlm.nih.gov/pubmed/24463169,Phelan 1,26.34,0,2.98,0,0,0,0,0,0,22.16,5.26,0,9.53,0,1.67,0,0,0,0,0,0,0,28.77,0,0,0,0,0,0,0,0,0,0,0.78,0,0,2.52
Crotalus oreganus helleri,Crotalus,oreganus,https://www.ncbi.nlm.nih.gov/pubmed/24463169,Idyllwild 1,0.3,0,0,0,0,0,0,0,0,21.26,5.48,0,1.08,0,0,0,0,0,0,0,0,0,40.64,0,0,0,0,0,0,0,0,0.01,0,1.7,0,0,29.53
Crotalus oreganus helleri,Crotalus,oreganus,https://www.ncbi.nlm.nih.gov/pubmed/24463169,Phelan 2,51.01,0,1.45,0,0,0,0,0,0,16.31,7.99,0,6.36,0,0,0,0,0,0,0,0,0,7.23,0,0,0,0,0,0,0,0,0.02,0,3.08,1.5,0,5.05
Crotalus oreganus helleri,Crotalus,oreganus,https://www.ncbi.nlm.nih.gov/pubmed/24463169,Loma Linda 1,16.91,0,3.85,0,0,0,0,0,0,20.2,4.52,0,8.58,0,0.92,0,0,0,0,0,0,0,40.17,0,0,0,0,0,0,0,0,0.03,0,1.35,0,0,3.47
