Snake,Reference,Note,"SVMP (Snake Venom Metalloproteinase), %","PI-SVMP (Snake Venom Metalloproteinase-PI), %","PII-SVMP (Snake Venom Metalloproteinase PII), %","PIII-SVMP (Snake Venom Metalloproteinase PIII), %","SVMPi (Snake Venom Metalloproteinase inhibitor), %","Disintegrin, %","Short disintegrin, %","Mediumdisintegrin, %","Largedisintegrin, %","Long disintegrin, %","Dimeric disintegrin, %","CTL (C-typelectin), %","DC-fragment (disintegrin-like/cysteine-ichdomains of PIII-SVMP), %","CRISP (cysteine-rich secretory protein), %","3Ftx (three-finger toxin), %","?-NTx (?-NeuroToxin), %","NTx (NeuroToxin), %","SNTx (Short chain NeuroToxin), %","LNTx (Long chain NeuroToxin), %","WNTx (Weak Neurotoxin), %","PLB (Phospholipase B), %","PLA2 (Phospholipases A2), %","Acidic PLA2 (Phospholipases A2), %","Basic PLA2 (Phospholipases A2), %","K49-PLA2, %","D49-PLA2, %","Cro-toxin, %","SP (Serine roteinase), %","SPi (Serine Proteinase inhibitor), %","KuTi (Kunitz-type nhibitor), %","KaTi (Kazal-type inhibitor), %","KLK (Kallikrein), %","LAAO (L-Amino Acid oxidase), %","VAP (VasoActive Peptides), %","BPP (Bradykinin-Potentiating Peptides), %","BIP (Bradykinin-Inhibitory Peptide), %","VEGF (Vascular Endothelial Growth Factor), %","CVF (Cobra Venom Factor), %","NP (Natriuretic Peptide), %","Muscarinic-toxin, %","Cyto-toxin, %","Myo-toxin, %","Mojave-toxin, %","Sarafo-toxin, %","Trimucro-toxin, %","Waprin, %","Navaprin, %","Ohanin, %","Oscutarin C, %","Cystatin, %","Crotamine, %","Vespryn, %","HYA (HYAluronidase), %","KTC (proKineTiCin), %","NGF (Nerve Growth Factor), %","ILGF-1 (insulin-like growth factor), %","PDE (PhosphoDiEsterases), %","ACHE (AcetylCHolineEsterase), %","NT5 (5NucleoTidase), %","EP (EndoPeptidase), %","EN (EndoNuclease), %","Trypsinogen, %","QC (Glutaminyl Cyclase), %","CCM (Complement Control Module), %","LIPA (Lysosomal Lipase A), %","TRF (TRansFerrin), %","CTT (Cytidyltransferase), %","ALB (ALBumins), %","HBG (HemoGloBins), %","pG peptides (polyGly peptides), %","pGpH peptides (Gly-His-rich peptide), %","beta-BTx (beta-bungarotoxin), %","Gal (galactose-binding lectin), %","Selectins, %","FMO (flavin monoamine oxidases), %","GP (glutathione peroxidase), %","CELF (Type-B carboxylesterases/lipases), %","Atragin, %","AMT (AminoTransferase), %","Aspartic protease, %","TBP (Toxin biosynthesis proteins), %","BP (Blood Proteins), %","KNL (Kinesin-like protein), %","NTP (Neurotrophin), %","Fibrinogenases, %","AP (AminoPeptidase), %","ChE (Cholinesterase), %","OLP (Ohanin like proteins), %","CRVP (Cysteine Rich Venom Proteine), %","NMG (Neuronal membrane glycoprotein), %","RIB (ribosomal protein), %","ECTONT (ecto-59-nucleotidase), %","Actin, %","Unknown peptides, %","Non-toxin, %","Unknown/Undetermined, %","Sum, %"
Bothrops atrox,https://www.ncbi.nlm.nih.gov/pubmed/28274896,Venezuela,0.00,18.00,0.00,66.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.00,2.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.50,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
Bothrops atrox,https://www.ncbi.nlm.nih.gov/pubmed/28274896,Venezuela,0.00,31.00,0.00,54.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.70,0.00,0.00,0.00,0.00,0.00,2.30,0.00,0.00,0.00,0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
Bothrops atrox,https://www.ncbi.nlm.nih.gov/pubmed/28274896,Venezuelan juvenile,0.00,21.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.50,0.00,0.00,0.00,0.00,0.00,9.50,0.00,0.00,0.00,0.00,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
Bothrops atrox,https://www.ncbi.nlm.nih.gov/pubmed/28274896,Venezuelan adult,0.00,65.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.50,0.00,0.00,0.00,0.00,0.00,2.20,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
Bothrops atrox,https://www.ncbi.nlm.nih.gov/pubmed/21278006,Colombia,0.00,21.00,0.00,4.80,0.00,3.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.00,0.00,0.00,0.00,0.00,0.00,19.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.42E-14,100.00
Bothrops atrox,https://www.ncbi.nlm.nih.gov/pubmed/21278006,Brazil,0.00,8.50,5.20,37.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.10,0.00,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.20,0.00,0.00,0.00,0.00,0.00,11.50,0.00,0.00,0.00,0.00,9.10,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.50,0.00,2.40,0.00,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
Bothrops atrox,https://www.ncbi.nlm.nih.gov/pubmed/21278006,Brazil,0.00,4.60,4.60,37.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.20,0.00,4.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.50,0.00,0.00,0.00,0.00,0.00,14.10,0.00,0.00,0.00,0.00,9.40,0.00,0.00,0.00,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,1.00,0.00,2.60,0.00,2.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,100.00
Bothrops atrox,https://www.ncbi.nlm.nih.gov/pubmed/21278006,Brazil,0.00,6.50,4.60,40.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.10,0.00,4.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.70,0.00,0.00,0.00,0.00,0.00,10.30,0.00,0.00,0.00,0.00,8.70,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.80,0.00,2.70,0.00,2.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
Bothrops atrox,https://www.ncbi.nlm.nih.gov/pubmed/21278006,Brazil,0.00,5.89,5.19,42.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.78,0.00,3.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.39,0.00,0.00,0.00,0.00,0.00,9.68,0.00,0.00,0.00,0.00,8.68,0.00,0.00,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.80,0.00,2.20,0.00,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
Bothrops atrox,https://www.ncbi.nlm.nih.gov/pubmed/24069493,Brazil,0.00,5.79,6.49,42.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.19,0.00,2.10,0.00,0.00,0.00,0.00,0.00,0.00,1.50,3.30,0.00,0.00,0.00,0.00,0.00,8.09,0.00,0.00,0.00,0.00,14.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.30,0.00,1.40,0.00,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,0.00,0.00,0.00,0.00,100
Bothrops ayerbei,https://www.ncbi.nlm.nih.gov/pubmed/24231109,Colombia,53.70,0.00,0.00,0.00,0.00,2.30,0.00,0.00,0.00,0.00,0.00,10.10,0.00,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,9.30,0.00,0.00,0.00,0.00,3.30,0.00,8.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.70,0.00,1.70,100.00
Bothrops barnetti,https://www.ncbi.nlm.nih.gov/pubmed/22300577,Peru,0.00,22.90,0.00,51.20,0.00,5.50,0.00,0.00,0.00,0.00,0.00,3.30,0.00,3.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.40,0.00,0.00,0.00,0.00,0.00,6.70,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,100.00
Bothrops caribbaeus,https://www.ncbi.nlm.nih.gov/pubmed/18785768,Carribean,0.00,30.60,0.00,38.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.20,2.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.80,0.00,0.00,0.00,0.00,0.00,4.70,0.00,0.00,0.00,0.00,8.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,100.00
Bothrops colombiensis,https://www.ncbi.nlm.nih.gov/pubmed/19457355,Venezuela,0.00,30.77,0.00,11.29,0.00,0.00,0.00,5.59,0.00,0.00,0.00,0.00,0.50,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.07,10.19,0.00,1.00,0.00,0.00,0.00,0.00,5.69,0.00,0.40,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
Bothrops cotiara,https://www.ncbi.nlm.nih.gov/pubmed/18760386,Brazil,0.00,3.10,0.00,70.00,0.00,0.00,0.00,1.20,0.00,0.00,0.00,0.10,0.50,3.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.40,0.00,0.00,0.00,0.00,3.80,0.00,0.00,0.00,1.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
Bothrops cotiara,https://www.ncbi.nlm.nih.gov/pubmed/24069493,Brazil,0.00,4.30,10.00,36.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.70,0.00,2.90,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.60,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,19.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.70,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.20,0.30,0.00,0.00,0.00,100
Bothrops diporus,https://www.ncbi.nlm.nih.gov/pubmed/26712790,Argentina,0.00,14.70,0.00,19.50,2.60,0.00,0.00,0.00,0.00,0.00,0.00,2.90,1.40,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.30,24.10,0.00,0.00,0.00,0.00,0.00,7.20,0.00,0.00,0.00,0.00,7.40,15.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.60,0.00,1.10,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
Bothrops erythromelas,https://www.ncbi.nlm.nih.gov/pubmed/25462430,Juazeiro,0.00,8.99,0.00,29.77,0.00,5.29,0.00,0.00,0.00,0.00,0.00,17.18,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,15.08,0.00,7.19,0.00,0.00,0.00,0.00,0.00,0.00,11.39,0.00,2.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.99
Bothrops erythromelas,https://www.ncbi.nlm.nih.gov/pubmed/25462430,Ceara,0.00,6.99,0.00,35.96,0.00,3.60,0.00,0.00,0.00,0.00,0.00,21.58,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,13.79,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,10.99,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.01
Bothrops erythromelas,https://www.ncbi.nlm.nih.gov/pubmed/25462430,Paraiba,0.00,14.40,0.00,35.40,0.00,8.90,0.00,0.00,0.00,0.00,0.00,8.70,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.10,0.00,5.80,0.00,0.00,0.00,0.00,0.00,0.00,14.50,0.00,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
Bothrops erythromelas,https://www.ncbi.nlm.nih.gov/pubmed/25462430,Pernambuco,0.00,7.20,0.00,38.00,0.00,3.40,0.00,0.00,0.00,0.00,0.00,18.00,1.20,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.50,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,9.30,0.00,2.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,100.00
Bothrops erythromelas,https://www.ncbi.nlm.nih.gov/pubmed/25462430,ilha de Itaparica,0.00,2.70,0.00,45.50,0.00,5.30,0.00,0.00,0.00,0.00,0.00,8.40,2.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,10.50,0.00,9.70,0.00,0.00,0.00,0.00,0.00,0.00,12.20,0.00,2.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,100.00
Bothrops fonsecai,https://www.ncbi.nlm.nih.gov/pubmed/18760386,Brazil,0.00,3.40,0.00,39.10,0.00,0.00,0.00,4.40,0.00,0.00,0.00,9.80,0.70,2.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.10,0.00,0.00,0.00,0.00,0.00,4.10,0.00,0.00,0.00,0.00,1.90,0.00,0.00,0.00,1.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,100.00
Bothrops insularis,https://www.ncbi.nlm.nih.gov/pubmed/19211044,Brazil,29.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.21,0.00,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.97,0.00,0.00,0.00,0.00,0.00,12.46,0.00,0.00,0.00,0.00,1.30,0.00,11.27,0.00,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
Bothrops jararaca,https://www.ncbi.nlm.nih.gov/pubmed/24069493,Brazil,0.00,3.80,9.40,29.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.40,0.00,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.80,3.20,0.00,0.00,0.00,0.00,0.00,11.70,0.00,0.00,0.00,0.00,10.70,0.00,0.00,0.00,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,1.30,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.10,0.00,0.00,0.00,0.10,100
Bothrops jararaca*,https://www.ncbi.nlm.nih.gov/pubmed/25968638,Brazil (south),0.00,3.49,0.00,6.50,0.00,0.19,0.00,0.00,0.00,0.00,0.00,3.79,0.39,2.52,0.00,0.00,0.00,0.00,0.00,0.00,0.16,19.61,0.00,0.00,0.00,0.00,0.00,27.76,0.00,0.00,0.00,0.00,7.77,21.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.02,0.00,0.19,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100
Bothrops jararaca*,https://www.ncbi.nlm.nih.gov/pubmed/25968638,Brazil (south-east),0.00,10.40,0.00,25.20,0.00,7.00,0.00,0.00,0.00,0.00,0.00,9.30,0.60,2.40,0.00,0.00,0.00,0.00,0.00,0.00,0.70,3.70,0.00,0.00,0.00,0.00,0.00,13.70,0.00,0.00,0.00,0.00,7.20,16.40,0.00,0.00,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.40,100
Bothrops jararacussu,https://www.ncbi.nlm.nih.gov/pubmed/24069493,Brazil,0.00,1.50,4.50,20.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.70,0.00,2.20,0.00,0.00,0.00,0.00,0.00,0.00,1.70,25.70,0.00,0.00,0.00,0.00,0.00,12.30,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,1.70,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.90,0.00,0.00,0.00,0.00,100
