Snakenames,Note,Snake,Number,Common names,Family,Country,Region,Snake genus,"Venom, mg (snakedatabase.org)",SVMP (Snake venom MetalloProteinase),PI-SVMP (Snake venom MetalloProteinase),PII-SVMP,PIII-SVMP (Snake venom MetalloProteinase),SVMPi (Snake venom metalloproteinase inhibitor),Disintegrin,Short disintegrin,Mediumdisintegrin,Largedisintegrin,Long disintegrin,Dimeric disintegrin,CTL (C-typelectin),DC-fragment (disintegrin-like/cysteine-ichdomains of PIII-SVMP),CRISP (cysteine-rich secretory protein),3Ftx (three-finger toxin),?-NTx (?-NeuroToxin),NTx (NeuroToxin),SNTx (Short chain NeuroToxin),LNTx (Long chain NeuroToxin),WNTx (Weak Neurotoxin),PLB (Phospholipase B),PLA2 (Phospholipases A2),Acidic PLA2 (Phospholipases A2),Basic PLA2 (Phospholipases A2),K49-PLA2,D49-PLA2,Cro-toxin,SP (Serine roteinase),SPi (Serine Proteinase inhibitor),KuTi (Kunitz-type nhibitor),KaTi (Kazal-type inhibitor),KLK (Kallikrein),LAAO (L-Amino Acid oxidase),VAP (VasoActive Peptides),BPP (Bradykinin-Potentiating Peptides),BIP (Bradykinin-Inhibitory Peptide),VEGF (Vascular Endothelial Growth Factor),CVF (Cobra Venom Factor),NP (Natriuretic Peptide),Muscarinic-toxin,Cyto-toxin,Myo-toxin,Mojave-toxin,Sarafo-toxin,Trimucro-toxin,Waprin,Navaprin,Ohanin,Oscutarin C,Cystatin,Crotamine (aka: ?-defensin/small basic myotoxic peptides),Vespryn,HYA (HYAluronidase),KTC (proKineTiCin),NGF (Nerve Growth Factor),ILGF-1 (insulin-like growth factor),PDE (PhosphoDiEsterases),ACHE (AcetylCHolineEsterase),NT5 (5NucleoTidase),EP (EndoPeptidase),EN (EndoNuclease),Trypsinogen,QC (Glutaminyl Cyclase),CCM (Complement Control Module),LIPA (Lysosomal Lipase A),TRF (TRansFerrin),CTT (Cytidyltransferase),ALB (ALBumins),HBG (HemoGloBins),pG peptides (polyGly peptides),pGpH peptides (Gly-His-rich peptide),beta-BTx (beta-bungarotoxin),Gal (galactose-binding lectin),Selectins,FMO (flavin monoamine oxidases),GP (glutathione peroxidase),CELF (Type-B carboxylesterases/lipases),Atragin,AMT (AminoTransferase),Aspartic protease,TBP (Toxin biosynthesis proteins),BP (Blood Proteins),KNL (Kinesin-like protein),NTP (Neurotrophin),Fibrinogenases,AP (AminoPeptidase),ChE (Cholinesterase),OLP (Ohanin like proteins),CRVP (Cysteine Rich Venom Proteine),NMG (Neuronal membrane glycoprotein),RIB (ribosomal protein),ECTONT (ecto-59-nucleotidase),Actin,Unknownpeptides,Non-toxin,Unknown/Undetermined,Sum
" <span href=""https://www.ncbi.nlm.nih.gov/pubmed/24463169"" target=""_blank"" style=""font-style: italic"">Crotalus oreganus helleri <span>(Loma Linda)",Phelan 3,Crotalus oreganus helleri,8,Southern Pacific Rattlesnake,Viperidae,"Mexico, United States of America",North America + Central America,Crotalus,0.00,0.00,0.00,0.00,0.00,18.20,1.17,0.00,0.00,0.00,0.00,0.00,0.85,0.00,4.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.26,8.70,0.00,5.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,100.00
" <span href=""https://www.ncbi.nlm.nih.gov/pubmed/24463169"" target=""_blank"" style=""font-style: italic"">Crotalus oreganus helleri <span>(Phelan)",Loma Linda 2,Crotalus oreganus helleri,9,Southern Pacific Rattlesnake,Viperidae,"Mexico, United States of America",North America + Central America,Crotalus,0.00,0.00,0.00,0.00,0.00,33.36,1.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.51,7.52,0.00,9.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,100.00
" <span href=""https://www.ncbi.nlm.nih.gov/pubmed/24463169"" target=""_blank"" style=""font-style: italic"">Crotalus oreganus helleri <span>(Phelan)",Catalina Island 2,Crotalus oreganus helleri,10,Southern Pacific Rattlesnake,Viperidae,"Mexico, United States of America",North America + Central America,Crotalus,0.00,0.00,0.00,0.00,0.00,14.88,0.00,0.00,0.00,0.00,0.00,0.00,9.50,0.00,18.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.95,7.11,0.00,9.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.84,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.13,100.00
" <span href=""https://www.ncbi.nlm.nih.gov/pubmed/24463169"" target=""_blank"" style=""font-style: italic"">Crotalus oreganus helleri <span>(Phelan)",Catalina Island 3,Crotalus oreganus helleri,11,Southern Pacific Rattlesnake,Viperidae,"Mexico, United States of America",North America + Central America,Crotalus,0.00,0.00,0.00,0.00,0.00,29.09,0.00,0.00,0.00,0.00,0.00,0.00,15.01,0.00,13.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.23,0.00,0.00,8.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.69,0.00,0.00,0.00,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.34,100.00
" <span href=""https://www.ncbi.nlm.nih.gov/pubmed/22446891"" target=""_blank"" style=""font-style: italic"">Crotalus scutulatus scutulatus <span>(Arizona)",Arizona (A-101),Crotalus scutulatus scutulatus,1,Northern Mojave Rattlesnake,Viperidae,"Mexico, United States of America",North America + Central America,Crotalus,150.00,0.00,8.07,0.00,49.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.06,0.00,24.50,0.00,0.00,0.00,0.00,1.10,5.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,100.01
" <span href=""https://www.ncbi.nlm.nih.gov/pubmed/22446891"" target=""_blank"" style=""font-style: italic"">Crotalus scutulatus scutulatus <span>(Arizona)",Arizona (F-303),Crotalus scutulatus scutulatus,2,Northern Mojave Rattlesnake,Viperidae,"Mexico, United States of America",North America + Central America,Crotalus,150.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.48,0.00,36.13,0.00,0.00,0.00,0.00,0.10,3.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.40,0.00,0.00,100.01
" <span href=""https://www.ncbi.nlm.nih.gov/pubmed/22446891"" target=""_blank"" style=""font-style: italic"">Crotalus scutulatus scutulatus<span> (Arizona)",Arizona (F-307),Crotalus scutulatus scutulatus,3,Northern Mojave Rattlesnake,Viperidae,"Mexico, United States of America",North America + Central America,Crotalus,150.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.89,0.00,41.52,0.00,0.00,0.00,0.00,0.10,3.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.89,0.00,0.00,100.00
" <span href=""https://www.ncbi.nlm.nih.gov/pubmed/22446891"" target=""_blank"" style=""font-style: italic"">Crotalus scutulatus scutulatus <span>(Arizona)",Arizona (E-105),Crotalus scutulatus scutulatus,4,Northern Mojave Rattlesnake,Viperidae,"Mexico, United States of America",North America + Central America,Crotalus,150.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.88,0.00,37.52,0.00,0.00,0.00,0.00,0.10,2.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.54,17.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.29,0.00,0.00,99.98
" <span href=""https://www.ncbi.nlm.nih.gov/pubmed/22446891"" target=""_blank"" style=""font-style: italic"">Crotalus scutulatus scutulatus<span> (Arizona)",Arizona (E-104),Crotalus scutulatus scutulatus,5,Northern Mojave Rattlesnake,Viperidae,"Mexico, United States of America",North America + Central America,Crotalus,150.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.77,0.00,28.84,0.00,0.00,0.00,0.00,1.30,3.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.03,17.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.30,0.00,0.00,100.00
" <span href=""https://www.ncbi.nlm.nih.gov/pubmed/22446891"" target=""_blank"" style=""font-style: italic"">Crotalus scutulatus scutulatus<span> (Arizona)",Arizona (E-106),Crotalus scutulatus scutulatus,6,Northern Mojave Rattlesnake,Viperidae,"Mexico, United States of America",North America + Central America,Crotalus,150.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.29,0.00,28.07,0.00,0.00,0.00,0.00,1.20,5.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.38,27.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.90,0.00,0.00,100.00
" <span href=""https://www.ncbi.nlm.nih.gov/pubmed/22446891"" target=""_blank"" style=""font-style: italic"">Crotalus scutulatus scutulatus <span>(Arizona)",Arizona (E-203),Crotalus scutulatus scutulatus,7,Northern Mojave Rattlesnake,Viperidae,"Mexico, United States of America",North America + Central America,Crotalus,150.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.59,0.00,32.07,0.00,0.00,0.00,0.00,0.80,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.18,35.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.90,0.00,0.00,100.00
" <span href=""https://www.ncbi.nlm.nih.gov/pubmed/22446891"" target=""_blank"" style=""font-style: italic"">Crotalus scutulatus scutulatus<span> (New Mexico)",New Mexico (F-301),Crotalus scutulatus scutulatus,8,Northern Mojave Rattlesnake,Viperidae,"Mexico, United States of America",North America + Central America,Crotalus,150.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.89,0.00,29.77,0.00,0.00,0.00,0.00,1.10,4.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.20,0.00,0.00,100.01
" <span href=""https://www.ncbi.nlm.nih.gov/pubmed/22446891"" target=""_blank"" style=""font-style: italic"">Crotalus scutulatus scutulatus <span>(Arizona)",Arizona (A-103),Crotalus scutulatus scutulatus,9,Northern Mojave Rattlesnake,Viperidae,"Mexico, United States of America",North America + Central America,Crotalus,150.00,0.00,8.99,0.00,50.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.09,0.00,21.88,0.00,0.00,0.00,0.00,1.30,5.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,100.00
" <span href=""https://www.ncbi.nlm.nih.gov/pubmed/22446891"" target=""_blank"" style=""font-style: italic"">Crotalus scutulatus scutulatus <span>(Arizona)",Arizona (E-202),Crotalus scutulatus scutulatus,10,Northern Mojave Rattlesnake,Viperidae,"Mexico, United States of America",North America + Central America,Crotalus,150.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.79,0.00,30.87,0.00,0.00,0.00,0.00,1.40,1.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.49,39.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.80,0.00,0.00,100.01
" <span href=""https://www.ncbi.nlm.nih.gov/pubmed/22446891"" target=""_blank"" style=""font-style: italic"">Crotalus scutulatus scutulatus<span> (Arizona)",Arizona (E-204),Crotalus scutulatus scutulatus,11,Northern Mojave Rattlesnake,Viperidae,"Mexico, United States of America",North America + Central America,Crotalus,150.00,0.00,0.00,0.00,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.80,0.00,30.10,0.00,0.00,0.00,0.00,0.70,2.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.90,27.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.30,0.00,0.00,100.00
" <span href=""https://www.ncbi.nlm.nih.gov/pubmed/22446891"" target=""_blank"" style=""font-style: italic"">Crotalus scutulatus scutulatus<span> (Arizona)",Arizona (A-108),Crotalus scutulatus scutulatus,12,Northern Mojave Rattlesnake,Viperidae,"Mexico, United States of America",North America + Central America,Crotalus,150.00,0.00,9.60,0.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.20,0.00,23.80,0.00,0.00,0.00,0.00,1.20,4.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,100.00
" <span href=""https://www.ncbi.nlm.nih.gov/pubmed/22446891"" target=""_blank"" style=""font-style: italic"">Crotalus scutulatus scutulatus <span>(Arizona)",Arizona (B-110),Crotalus scutulatus scutulatus,13,Northern Mojave Rattlesnake,Viperidae,"Mexico, United States of America",North America + Central America,Crotalus,150.00,0.00,7.10,0.00,41.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.30,0.00,22.20,0.00,0.00,0.00,0.00,2.10,5.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.80,0.00,0.00,100.00
" <span href=""https://www.ncbi.nlm.nih.gov/pubmed/22446891"" target=""_blank"" style=""font-style: italic"">Crotalus scutulatus scutulatus <span>(Arizona)",Arizona (C-107),Crotalus scutulatus scutulatus,14,Northern Mojave Rattlesnake,Viperidae,"Mexico, United States of America",North America + Central America,Crotalus,150.00,0.00,7.80,0.00,44.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.60,0.00,18.90,0.00,0.00,0.00,0.00,1.50,4.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,100.00
" <span href=""https://www.ncbi.nlm.nih.gov/pubmed/22446891"" target=""_blank"" style=""font-style: italic"">Crotalus scutulatus scutulatus <span>(Arizona)",Arizona (D-201),Crotalus scutulatus scutulatus,15,Northern Mojave Rattlesnake,Viperidae,"Mexico, United States of America",North America + Central America,Crotalus,150.00,0.00,0.00,0.00,3.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.60,0.00,19.30,0.00,0.00,0.00,0.00,1.50,3.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.10,34.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.10,0.00,0.00,100.00
" <span href=""https://www.ncbi.nlm.nih.gov/pubmed/22446891"" target=""_blank"" style=""font-style: italic"">Crotalus scutulatus scutulatus <span>(New Mexico)",New Mexico (F-302),Crotalus scutulatus scutulatus,16,Northern Mojave Rattlesnake,Viperidae,"Mexico, United States of America",North America + Central America,Crotalus,150.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.60,0.00,40.20,0.00,0.00,0.00,0.00,0.70,4.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.60,0.00,0.00,100.00
" <span href=""https://www.ncbi.nlm.nih.gov/pubmed/22446891"" target=""_blank"" style=""font-style: italic"">Crotalus scutulatus scutulatus<span> (New Mexico)",New Mexico (F-304),Crotalus scutulatus scutulatus,17,Northern Mojave Rattlesnake,Viperidae,"Mexico, United States of America",North America + Central America,Crotalus,150.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.70,0.00,33.50,0.00,0.00,0.00,0.00,0.10,3.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.20,0.00,0.00,100.00
" <span href=""https://www.ncbi.nlm.nih.gov/pubmed/22446891"" target=""_blank"" style=""font-style: italic"">Crotalus scutulatus scutulatus<span> (Arizona)",Arizona (F-306),Crotalus scutulatus scutulatus,18,Northern Mojave Rattlesnake,Viperidae,"Mexico, United States of America",North America + Central America,Crotalus,150.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.60,0.00,41.50,0.00,0.00,0.00,0.00,0.10,3.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.80,0.00,0.00,100.00
" <span href=""https://www.ncbi.nlm.nih.gov/pubmed/22446891"" target=""_blank"" style=""font-style: italic"">Crotalus scutulatus scutulatus <span>(Arizona)",Arizona (D-109),Crotalus scutulatus scutulatus,19,Northern Mojave Rattlesnake,Viperidae,"Mexico, United States of America",North America + Central America,Crotalus,150.00,0.00,3.50,0.00,15.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.50,0.00,9.60,0.00,0.00,0.00,0.00,1.20,4.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.20,21.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.60,0.00,0.20,100.00
